reference,doi,pub_type,substrate_polymer,mcp_carrier,antimicrobial,prep_method,manufacturing_temp_c,trigger_mechanism,rh_conditions_pct,storage_temp_c,mcp_loading,release_method,release_duration,kinetic_model,release_result,produce_tested,package_vol_mass,quality_outcomes,mechanical_props,barrier_props,antimicrobial_outcomes,limitations,scaleup_relevance,concept_relevance,work_id,year,venue,authors,source,oa_status,fulltext_source,fulltext_chars,screen_decision,extraction_model,extracted_at,n_full_text_cells,n_abstract_cells,n_not_stated,n_unverifiable,n_blanked,row_confidence
"Hongsheng Zhou et al. (2025). Improving the Surface Color and Delaying Softening of Peach by Minimizing the Harmful Effects of Ethylene in the Package. Foods, 14, 2472.",10.3390/foods14142472,original_research,,,,,,,,22 ± 2 °C,1.5 μL·L −1,,8 d,,,Honey peach,,"firmness, color change, anthocyanin content, weight loss",,,,,low,background,doi:10.3390/foods14142472,2025,Foods,Hongsheng Zhou; Siyu Ma; Jing Zhao; Ying Gao; Wen Huang; Yingtong Zhang; Jun Ling; Qian Zhou; Pengxia Li,epmc,gold,epmc_jats:PMC12295221,44149,include,qwen3.6:35b-a3b,1785489938.7573035,7,0,14,1,1,medium
"Laras Putri Wigati et al. (2025). Influence of cellulose nanocrystal formulations on the properties of pregelatinized cornstarch and cornmint essential oil films. Scientific Reports, 15, 18997.",10.1038/s41598-025-03318-8,original_research,pregelatinized cornstarch,,cornmint essential oil,solution_casting,60 °C,,,,,,,,,Apples,,,,"water vapor transmission rate, water vapor permeability g h −1 m −2, g mm h −1 m 2 kPa",,Reduced mechanical strength at higher CNC concentrations and lack of real-world food application testing.,medium,adjacent_material,doi:10.1038/s41598-025-03318-8,2025,Scientific Reports,Laras Putri Wigati; Ata Aditya Wardana; Francis Ngwane Nkede; Meng Fanze; Mohammad Hamayoon Wardak; M. A. Reshaka Kavindi; Tran Thi Van; Xirui Yan; Fumina Tanaka; Fumihiko Tanaka,epmc,gold,epmc_jats:PMC12125276,63589,include,qwen3.6:35b-a3b,1785490099.3318079,9,0,11,2,2,medium
"Zhibin Pan et al. (2024). Effects of oregano essential oil Pickering emulsion and ZnO nanoparticles on the properties and antibacterial activity of konjac glucomannan/carboxymethyl chitosan nanocomposite films. RSC Advances, 14, 6548-6556.",10.1039/d3ra07845k,original_research,konjac glucomannan/carboxymethyl chitosan,,oregano essential oil,solution_casting,45 °C,,,,,,,,,,,,,,inhibition zones against E. coli and S. aureus,,low,adjacent_material,doi:10.1039/d3ra07845k,2024,RSC Advances,Zhibin Pan; Weiquan Zhong; Jingting Xu; Danjie Li; Junhan Lin; Weibin Wu; Jie Pang; Chunhua Wu,epmc,gold,epmc_jats:PMC10882515,32153,include,qwen3.6:35b-a3b,1785490289.2281501,7,0,13,2,2,medium
"Anna Yu. Pnevskaya et al. (2026). In Situ Diffuse Reflectance Infrared Fourier‐Transform Spectroscopy Investigation of 1‐Methylcyclopropene Adsorption in Cobalt–Formate Metal–Organic Framework. ChemistryOpen, 15, e202500559.",10.1002/open.202500559,original_research,,,1-methylcyclopropene (1-MCP),other,,temperature,,ca. 55 °C,,other,about 20 min,,>90% of 1-MCP capture efficiency by Co-FA at room temperature,banana fruits,,"yellow color, solid texture, brown spotting, darker color, soft composition, mold",,,,Lack of humidity control in validation tests led to mold growth after 12 days across all groups.,not_assessable,adjacent_mechanism,doi:10.1002/open.202500559,2026,ChemistryOpen,Anna Yu. Pnevskaya; Andrei A. Tereshchenko; Aram Bugaev,epmc,gold,epmc_jats:PMC12949449,26629,include,qwen3.6:35b-a3b,1785490452.0985932,12,0,8,2,2,high
"Yuxuan Ban et al. (2026). Preparation of a Pickering emulsion film loaded with essential oils extracted from chili pepper leaves and its application in the post-harvest preservation of fresh broccoli. Current Research in Food Science, 12, 101411.",10.1016/j.crfs.2026.101411,original_research,chitosan/polyvinyl alcohol,,chili pepper leaf essential oil (CPLEO),solution_casting,40 °C,,90 ∼ 95 %,4 ± 2 °C,,,,,,fresh broccoli,,,"18.5 MP tensile strength, 280% elongation at break MP, %",2.0 g/m<sup>2</sup>/h water vapor permeability g/m<sup>2</sup>/h,inhibition zone diameter increased by 50% against Listeria monocytogenes and 158% against Erwinia carotovora,Preservation efficacy validated only for broccoli under short-term refrigerated conditions; lacks industrial scalability data and safety assessments of CPLEO migration.,low,adjacent_material,doi:10.1016/j.crfs.2026.101411,2026,Current Research in Food Science,Yuxuan Ban; Juntao Wang; Xiaoqian Guo; Uğur Yegül; Xianghong Wang; Si Mi,epmc,gold,epmc_jats:PMC13138034,64508,include,qwen3.6:35b-a3b,1785490638.3417547,13,0,8,1,1,high
"Kyoungook Kim et al. (2025). Effects of sachet-type 1-methylcyclopropene (1-MCP) treatment on
                    fruit quality during ambient and cold storage of Hongro
                    apples. Food Science and Preservation, 32, 595-602.",10.11002/fsp.2025.32.4.595,original_research,,,,,,liquid_water,,"20±2°C, 0±0.5°C °C",,,,,,Hongro apples,10 kg box kg,"firmness (64.0-65.2 N), colour (L*, a*, b*), soluble solids (SSC), weight loss, ethylene concentration (IEC: 0.4-14.4 μL/L)",,,,Requires further studies to determine optimal SFIS concentration for practical grower application,low,core,doi:10.11002/fsp.2025.32.4.595,2025,Food Science and Preservation,Kyoungook Kim; Areum Han; Eonji Kim; Jung-Geun Kwon; Nay Myo Win; Jingi Yoo; In-Kyu Kang,crossref,,oa_html:https://doi.org/10.11002/fsp.2025.32.4.595,24177,include,qwen3.6:35b-a3b,1785490867.1376832,8,0,13,1,1,medium
"Jia Kan et al. (2025). Interfacial Engineering of High-Performance Pickering Emulsion–Gelatin Composite Films for Active Packaging. Foods, 14, 3978.",10.3390/foods14223978,original_research,gelatin,,oregano essential oil,solution_casting,35 °C,passive_diffusion,,25 °C,,other,,fickian,The Korsmeyer–Peppas model showed higher correlation coefficients (R 2 = 0.9592 for 50% ethanol and 0.9518 for 10% ethanol) than the Higuchi model (R 2 = 0.8941 for 50% ethanol and 0.8879 for 10% ethanol). The release exponent ( n ) values of 0.2389 and 0.1991 (<0.45) confirmed that the OEO release followed a Fickian diffusion mechanism,,,,"tensile strength: 41.2 MPa, elongation at break: 97.5%, modulus: 744.9 MPa, puncture: exceptional resistance MPa, %","WVP: 3.98 × 10 −14 g·cm·cm −2 ·s −1 ·Pa −1, OP: 1.89 × 10 −17 cm 3 ·cm·cm −2 ·s −1 ·Pa −1 g·cm·cm −2 ·s −1 ·Pa −1, cm 3 ·cm·cm −2 ·s −1 ·Pa −1","inhibition zones: E. coli 22.32 ± 0.24 mm, S. aureus 39.58 ± 0.74 mm",,medium,adjacent_material,doi:10.3390/foods14223978,2025,Foods,Jia Kan; Mingzhu Li; Menghuan Liu; Ning Jiang; Zefeng Yue; Hao Yu; Rongxue Sun; Qianyuan Liu; Saikun Pan; Cheng Wang,epmc,gold,epmc_jats:PMC12652791,65119,include,qwen3.6:35b-a3b,1785491035.4724424,14,0,8,0,0,high
"Qiyuan Feng et al. (2025). Tannic Acid-Modified Sodium Caseinate Pickering Emulsion Coatings: Characterization, Enhanced Mechanical/Antibacterial Properties, and Application in Cherry Tomato Preservation. Foods, 14, 3190.",10.3390/foods14183190,original_research,carboxymethyl tara gum,,bergamot essential oil,coating,,,,,,other,,,relatively stable and slower than SC,cherry tomatoes,,"weight loss, firmness, TSS (soluble solids), lycopene, vitamin C, MDA",,,inhibition zones against Escherichia coli and Staphylococcus aureus,Lab-only conditions without supply chain simulations.,not_assessable,adjacent_mechanism,doi:10.3390/foods14183190,2025,Foods,Qiyuan Feng; Hesheng Wang; Xinyu Yang; Linna Wang; Tian Li; Limin Guo; Silong Jia; Yaqian Yang; Youwei Yu; Shaoying Zhang,epmc,gold,epmc_jats:PMC12469039,58846,include,qwen3.6:35b-a3b,1785491302.576215,11,0,8,3,3,low
"Andreas Romulo et al. (2024). Enhancing Antimicrobial Activity of Thyme Essential Oil Through Cellulose Nano Crystals-Stabilized Pickering Emulsions. Foods, 13, 3706.",10.3390/foods13223706,original_research,sodium alginate,,thyme essential oil (TEO),solution_casting,35 °C,,,,,,,,,,,,,,MIC50 of 4096 µg/mL against Staphylococcus aureus and Escherichia coli; MIC50 > 8192 µg/mL for 5% TEO,Formulation requires further optimization and broader application testing,low,adjacent_material,doi:10.3390/foods13223706,2024,Foods,Andreas Romulo; Vania Salsabila Anjani; Ata Aditya Wardana,epmc,gold,epmc_jats:PMC11593629,43832,include,qwen3.6:35b-a3b,1785491490.9328604,8,0,14,0,0,medium
"Peng Liu et al. (2015). Research on SO&lt;sub&gt;2&lt;/sub&gt; Controlled Release Packaging on the Preservation Performance of ‘Kyoho’ Grapes. Applied Mechanics and Materials, 731, 369-373.",10.4028/www.scientific.net/amm.731.369,conference_paper,,,,,,,,23±1 °C,,,,,,Kyoho grapes,,"appearance quality, water loss, stem browning, solidity, TSS and TA, rot rate, stem browning index",,,,,,core,doi:10.4028/www.scientific.net/amm.731.369,2015,Applied Mechanics and Materials,Peng Liu; Dong Li Li; Wen Cai Xu; Ya Bo Fu,openalex,hybrid,oa_html:https://doi.org/10.4028/www.scientific.net/amm.731.369,7619,include,qwen3.6:35b-a3b,1785491675.9442036,4,0,17,1,1,medium
"Liufeng Wang et al. (2026). Chitosan-Based Composite Films Reinforced with Zein–Inulin–Thyme Essential Oil Pickering Emulsion for Enhanced Structural Integrity and Preservation Capacity. Foods, 15, 484.",10.3390/foods15030484,original_research,chitosan,,thyme essential oil,solution_casting,35 °C,,,,,,,,,blueberries,,"weight loss, firmness decline, pH increase, total soluble solids content, reducing sugar content, appearance/decay",,,"inhibition zone diameter, total plate count (TPC), yeasts and molds (Y&M) counts",biosafety and migration behavior not evaluated; practical applicability requires further study,low,low,doi:10.3390/foods15030484,2026,Foods,Liufeng Wang; Hongxin Xue; Yujie Ling; Xinping Zhong; Kuntai Li; Qiuming Zheng; Xiaoqing Chen; Xinyi He; Minghui Tan,epmc,gold,epmc_jats:PMC12896857,46708,include,qwen3.6:35b-a3b,1785491795.7587252,10,0,9,3,3,low
"Niloofar Shirdam et al. (2026). Synthesis, characterization, and evaluation of antimicrobial double-layer mat incorporating nisin and thyme essential oil to enhance food safety. Scientific Reports, 16, 10265.",10.1038/s41598-025-34848-w,original_research,"chitosan, poly (vinyl alcohol), cellulose acetate",,"nisin, thyme essential oil",electrospinning,90 °C,,,,,,,,,,,,elongation at break of 21.66 ± 0.62% %,,inhibition zones reaching 27.26 ± 1.60 mm for L. monocytogenes and 25.13 ± 1.40 mm for E. coli; reduced L. monocytogenes by 2 logs,"Evaluated only in broth-based model systems with two reference strains, lacking testing in real food matrices, variable storage conditions, migration behavior, release kinetics, sensory impacts, barrier properties, and techno-economic assessments.",high,adjacent_mechanism,doi:10.1038/s41598-025-34848-w,2026,Scientific Reports,Niloofar Shirdam; Mohammad Mir-Derikvand; Ali Hossein Rezayan; Mahsa Kalantar,epmc,gold,epmc_jats:PMC13031788,45688,include,qwen3.6:35b-a3b,1785491963.53408,9,0,12,1,1,medium
"Xiuxiu Teng et al. (2025). 4D printed deformation labels with machine learning for monitoring and preservation of respiring climacteric fruits. Nature Communications, 16, 11525.",10.1038/s41467-025-66554-6,original_research,konjac glucomannan grafted with methacrylic anhydride,,garlic essential oil,printing,25 °C,mechanical,93 %,25 °C,,other,10 days,korsmeyer_peppas,cumulative release of 1 upper layer-30%-60° labels was 42.32% higher than that of 4-upper layer-30%-90° labels on 10 th day,"kiwi fruits, green mangoes, and persimmons",,"hardness, titratable acid content, soluble solid content, weight loss rate, sensory evaluation",,,total bacterial count,Requires dedicated packaging space and is restricted to climacteric fruits,low,core,doi:10.1038/s41467-025-66554-6,2025,Nature Communications,Xiuxiu Teng; Min Zhang; Arun S. Mujumdar; Chunli Li,epmc,gold,epmc_jats:PMC12749378,76789,include,qwen3.6:35b-a3b,1785492150.3944736,17,0,4,1,1,high
"Yiping Liu et al. (2025). Application of a Pickering Emulsion Stabilized by Zein and Cellulose Nanocrystalline Composite Particles to Preserve Kiwifruit. Molecules, 30, 3478.",10.3390/molecules30173478,original_research,zein colloidal particles (ZCPs) and cellulose nanocrystals (CNCs),,carvacrol,other,,,,,,,,,,kiwifruit,,decay,,,inhibition rate against Botryosphaeria dothidea,,,adjacent_material,doi:10.3390/molecules30173478,2025,Molecules,Yiping Liu; Weixiang Qiu; Yalan Mo; Jing Tian; Muxiang Liao; Binghong Jia; Qian Zhou; Feichi Liu; Xiaogang Li,epmc,gold,epmc_jats:PMC12430640,41682,include,qwen3.6:35b-a3b,1785492390.7911036,7,0,13,2,2,medium
"Mariangela de Fátima Silva et al. (2025). Chitosan-Lemongrass Essential Oil on Paperboard for Active Food Packaging Applications. Polymers, 17, 473.",10.3390/polym17040473,original_research,paperboard,,lemongrass essential oil,coating,120 °C,,,,,,,,,,,,,,,lab-only extrapolation from medical device cytotoxicity standards using drastic extraction conditions not reflective of real packaging use,low,adjacent_material,doi:10.3390/polym17040473,2025,Polymers,Mariangela de Fátima Silva; Julia Vaz Ernesto; Alessandra Rigo Rinaldi; Ana Paula Reis Noletto; Patricia Santos Lopes; Rosemary Aparecida de Carvalho; Vitor Augusto dos Santos Garcia; Cristiana Maria Pedroso Yoshida,epmc,gold,epmc_jats:PMC11859360,44969,include,qwen3.6:35b-a3b,1785492581.5060704,7,0,13,2,2,medium
"Tianyu Jiang et al. (2025). Sustainable active packaging developed using starch-based foam incorporating 1-Methylcyclopropene@α-Cyclodextrin. Carbohydrate Polymers, 347, 122696.",10.1016/j.carbpol.2024.122696,original_research,starch-based foam sheets,α-Cyclodextrin,1-MCP,,,,,,,,,,"significant reduction in ethylene production and respiration rates by up to 60.49 % and 57.50 % respectively, leading to an extension of the shelf life of climacteric fruits by 5-10 days",,,"ethylene production reduction (60.49 %), respiration rate reduction (57.50 %), shelf life extension (5-10 days)",,,,,,core,doi:10.1016/j.carbpol.2024.122696,2025,Carbohydrate Polymers,Tianyu Jiang; Yuqing Song; Limeng Chang; Qiang Huang; Wanlin He; Hongsheng Liu,"epmc,openalex",closed,,0,include,qwen3.6:35b-a3b,1785492746.4211316,0,6,0,16,1,medium
"Limeng Chang et al. (2026). Humidity-responsive starch foam pads for humidity-triggered release of 1-methylcyclopropene in litchi fruit preservation. Food Wellness, 2, 100060.",10.1016/j.foodw.2026.100060,original_research,starch foam,α-cyclodextrin,,extrusion,,humidity_moisture,93 %,25 °C,18.5 g/m² and 27.8 g/m² g/m²,,,,18.5 g/m² exhibited a more regular and sustained release profile; 27.8 g/m² showed incomplete and less regular release,litchi,,"pericarp browning, ethylene production, respiration rate, membrane stability, quality deterioration",,,,limited to litchi fruit; requires validation on other species before broader application,,core,doi:10.1016/j.foodw.2026.100060,2026,Food Wellness,Limeng Chang; Liying Peng; Jiayi Xu; Shaobo Zhang; Long Yu; Yuanhong Luo; Hongsheng Liu,"crossref,openalex",hybrid,,0,include,qwen3.6:35b-a3b,1785492887.0842404,0,12,0,10,1,medium
"Yanyi Xue et al. (2026). Morphology-regulated Pickering emulsions stabilized by soybean residue-derived nanocellulose for tunable-release bio-based food packaging. International Journal of Biological Macromolecules, 376, 153411.",10.1016/j.ijbiomac.2026.153411,original_research,chitosan,,lemon essential oil,,,,,,,,,,,blueberry,,"weight loss, firmness, titratable acidity",20.38 MPa,7.30 × 10<sup>-7</sup> g/m·s·Pa,,,high,core,doi:10.1016/j.ijbiomac.2026.153411,2026,International Journal of Biological Macromolecules,Yanyi Xue; Xinyi Zheng; Yuhang Sun; Yishuai Fu; Long Xing; Junwen Pu; Wenliang Wang,epmc,,,0,include,qwen3.6:35b-a3b,1785493026.034231,0,8,0,14,0,medium
"Wei Zhou et al. (2021). 3D printed nanocellulose-based label for fruit freshness keeping and visual monitoring. Carbohydrate Polymers, 273, 118545.",10.1016/j.carbpol.2021.118545,original_research,cellulose nanofibers (CNF),chitosan,1-methylcyclopropene (1-MCP),printing,,other,,,,,,,sustained release behavior,litchis,,shelf life,,,,,,core,doi:10.1016/j.carbpol.2021.118545,2021,Carbohydrate Polymers,Wei Zhou; Zhengguo Wu; Fengwei Xie; Shuwei Tang; Jiawei Fang; Xiaoying Wang,"epmc,openalex",bronze,,0,include,qwen3.6:35b-a3b,1785493154.8064258,0,9,0,13,1,medium
"Syariful Mubarok et al. (2022). Impact of 1-Methylcyclopropene combined with chitosan on postharvest quality of tropical banana ‘Lady Finger’. International Journal of Food Properties, 25, 1171-1185.",10.1080/10942912.2022.2074028,original_research,,,,,,,,,,,,,,Lady Finger banana,,"pH, TA, TSS, total sugar, color index, weight loss, shelf life",,,,,,,doi:10.1080/10942912.2022.2074028,2022,International Journal of Food Properties,Syariful Mubarok; Ikrima Maulida Rahman; Nadia Nuraniya Kamaluddin; Eso Solihin,openalex,gold,,0,include,qwen3.6:35b-a3b,1785493301.9739127,0,2,0,20,2,medium
"J.H. Hotchkiss et al. (2007). Release of 1‐Methylcyclopropene from Heat‐Pressed Polymer Films. Journal of Food Science, 72.",10.1111/j.1750-3841.2007.00391.x,original_research,,alpha-cyclodextrin,1-methylcyclopropene,other,above 100 degrees C,,>/= 75 %,,8/140 mg/mg polymer,gc_fid,36 to 48 h,,rapid and high,,,,,,,,,,doi:10.1111/j.1750-3841.2007.00391.x,2007,Journal of Food Science,J.H. Hotchkiss; C.B. Watkins; D.G. Sanchez,"epmc,openalex",closed,,0,include,qwen3.6:35b-a3b,1785493429.8270624,0,9,0,13,4,low
"Hermawan Dwi Ariyanto et al. (2026). Effectiveness of 1‐Methylcyclopropene Coated Paper–Based Shellac Solution During Postharvest Treatment of ‘Orin’ Apples as Functional Packaging for Extending Shelf Life. Packaging Technology and Science, pts.70101.",10.1002/pts.70101,original_research,paper,"alpha-cyclodextrin, inclusion complex",,coating,,humidity_moisture,,"4, 20 °C",,,15 days days,other,320 μL L −1,'Orin' Apples,,,,,,,,,doi:10.1002/pts.70101,2026,Packaging Technology and Science,Hermawan Dwi Ariyanto; Vita Paramita; Miho Tatsuki; Hidefumi Yoshii,openalex,closed,,0,include,qwen3.6:35b-a3b,1785493592.8370388,0,9,0,13,1,medium
"Jiarui Tong et al. (2026). Trans-2-hexenal-loaded gelatin/dialdehyde starch/nanocellulose cushioning aerogel: synergistic postharvest preservation of Chinese bayberry with 1-MCP. Food Research International, 230, 118612.",10.1016/j.foodres.2026.118612,original_research,gelatin/dialdehyde starch,,trans-2-hexenal,lyophilization,,,,4 °C,,,,first_order,sustained E2H release behavior,Chinese bayberry,,"decay, firmness",,,Penicillium citrinum,,,,doi:10.1016/j.foodres.2026.118612,2026,Food Research International,Jiarui Tong; Xiangrong Zhu; Xiumei Chen; Nengguo Tao,epmc,,,0,include,qwen3.6:35b-a3b,1785493748.9626954,0,9,0,13,0,medium
"Jiayan Zhang et al. (2025). An active packaging film prepared from aqueous two-phase Pickering emulsion and chitosan for fruit preservation. Food Chemistry, 493, 146033.",10.1016/j.foodchem.2025.146033,original_research,chitosan,,,,,,,,,,,,,bananas and tomatoes,,,,,,,not_assessable,adjacent_material,doi:10.1016/j.foodchem.2025.146033,2025,Food Chemistry,Jiayan Zhang; Changyong Cai; Yuxiao Hu; Zhijian Tan,"crossref,epmc",,,0,include,qwen3.6:35b-a3b,1785493881.7281542,0,4,0,18,0,medium
