claim_id,sample_id,clear_fields,set_fields,audit_flags,audit_verdict,reason,current_applicability_verified,record_version,old_fields,new_fields,source_url,chunk_id,finding_status
claim_feaff40cbf9d03ab10385e09,S18,"[""tariff_program"", ""duty_rate"", ""rate_type""]","{""hts_code"": {""value"": ""8704.60.00"", ""excerpt"": ""8704.60.00 | 00 | Other, with only electric motor for propulsion""}}","[""flattened_tariff_columns"", ""missing_headers_and_conditions"", ""off_sector_vehicle_row""]",tariff_table_columns_conflated,"The snippet flattens general and special tariff columns. Free and 25% are conditional entries, not a single rate/type/program. The quoted row is 8704.60.00 despite the different query parameter in the URL.",False,quality-v1-2026-09-10,"{""tariff_program"": ""Free (A+, AU, B, BH, CL, CO, D, E, IL, JO, MA, OM, P, PA, PE, S, SG)"", ""duty_rate"": ""25%"", ""rate_type"": ""Free"", ""hts_code"": null}","{""tariff_program"": null, ""duty_rate"": null, ""rate_type"": null, ""hts_code"": ""8704.60.00""}",https://hts.usitc.gov/search?query=8711.60.00.90,chunk_a9624c31f84ad7ec02dc606f,manually_identified_unsupported_or_misclassified_fields
claim_ee0ecda05c1e3aff0131d5b2,S19,"[""investment_effect""]",{},"[""aggregate_vs_facility_scope"", ""investment_precedes_announcement"", ""off_sector_automotive_context""]",company_facility_scope_and_causality_unresolved,"The paragraph blends a national $21 billion commitment with a Georgia facility and aggregate capacity/jobs figures. The investment preceded the tariff announcement, so timing alone does not prove tariff causation. Cached reporting separately gives 500,000 vehicles for the Georgia factory, requiring scope/date reconciliation.",False,quality-v1-2026-09-10,"{""investment_effect"": ""$21 billion investment through 2028""}","{""investment_effect"": null}",https://www.automotivelogistics.media/supply-chain/automotive-logistics-and-supply-chains-in-2025-tariff-turmoil-investment-uncertainty-and-further-cost-pressures/649740,chunk_6bb594047515ea6015be7937,manually_identified_unsupported_or_misclassified_fields
claim_39964e1ae7ee90db27e81ed5,S20,"[""origin_rules""]","{""effective_date"": {""value"": ""September 24, 2018"", ""excerpt"": ""Effective September 24, 2018""}}","[""same_source_later_rate_change"", ""origin_scope_not_origin_test""]",historical_rate_with_missing_transition,"The official paragraph records the September 2018 additional 10% duty, but the very next sentence says it increased to 25% in May 2019. It supports history, not a current 10% rate. Goods of China states geographic scope rather than an origin-determination rule.",False,quality-v1-2026-09-10,"{""origin_rules"": ""goods of China"", ""effective_date"": null}","{""origin_rules"": null, ""effective_date"": ""September 24, 2018""}",https://www.federalregister.gov/documents/2020/02/20/2020-03377/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,chunk_5354e17bedd406b9a52d7e63,manually_identified_unsupported_or_misclassified_fields
claim_bb42e868d723725a516e8937,S21,"[""hts_code""]",{},"[""foreign_or_unspecified_hs_jurisdiction"", ""snippet_only""]",unspecified_foreign_hs_not_us_hts,A trade-data snippet labels an HS code without establishing US HTS jurisdiction. It cannot support US-specific tariff classification or duty applicability for a Georgia company.,False,quality-v1-2026-09-10,"{""hts_code"": ""85049090""}","{""hts_code"": null}",https://www.zauba.com/import-INVERTER+PCB+ASSY/hs-code-85049090-hs-code.html,chunk_874efd4486598d7f37b973e5,manually_identified_unsupported_or_misclassified_fields
claim_34b9e02f9e757fa64ec1c88a,S22,"[""company"", ""effective_date""]","{""rate_type"": {""value"": ""no less than"", ""excerpt"": ""no less than 25 percent""}}","[""government_body_not_company"", ""proposed_minimum_not_final_rate"", ""off_sector_facemasks""]",agency_as_company_and_proposal_as_rate,"USTR is a government body, not a company. The excerpt describes a direction for no less than 25% and ensuing proposals for facemasks; it is not a final electronics rate or an exact effective date.",False,quality-v1-2026-09-10,"{""company"": ""U.S. Trade Representative"", ""effective_date"": ""2024"", ""rate_type"": null}","{""company"": null, ""effective_date"": null, ""rate_type"": ""no less than""}",https://www.federalregister.gov/documents/2024/09/18/2024-21217/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,chunk_f920e269de67d8043fa3f8ca,manually_identified_unsupported_or_misclassified_fields
claim_9fcfae8a48fedb34512a2b1a,S23,"[""company""]",{},"[""government_body_not_company"", ""social_media_source"", ""stacking_not_verified""]",agency_as_company_and_secondary_rate_claim,"The White House is cited as a source, not an exposed company. The LinkedIn post reports a PCB duty component and makes stacking assertions; it is secondary evidence needing the underlying authority and dated scope.",False,quality-v1-2026-09-10,"{""company"": ""White House""}","{""company"": null}",https://www.linkedin.com/posts/greg-papandrew-5025834_%F0%9D%97%A7%F0%9D%97%94%F0%9D%97%A5%F0%9D%97%9C%F0%9D%97%99%F0%9D%97%99-%F0%9D%97%A8%F0%9D%97%A3%F0%9D%97%97%F0%9D%97%94%F0%9D%97%A7%F0%9D%97%98-%F0%9D%97%A6%F0%9D%97%A2%F0%9D%97%9F%F0%9D%97%A8%F0%9D%97%A7%F0%9D%97%9C%F0%9D%97%A2%F0%9D%97%A1-activity-7302659128592617473-FCFp,chunk_cbd1179e7fea1bc79e4ee02e,manually_identified_unsupported_or_misclassified_fields
claim_93b77e471e6e89244a0b1a88,S28,"[""effective_date"", ""reported_policy_status""]",{},"[""relative_date"", ""status_refers_to_previous_rate"", ""truncated_video_snippet""]",relative_date_and_status_reference_error,"Now is not an effective date. In this truncated snippet, implemented modifies the former 25% tariff, not necessarily the new 15% rate; the structured status transfers that modifier to the wrong rate.",False,quality-v1-2026-09-10,"{""effective_date"": ""now"", ""reported_policy_status"": ""implemented""}","{""effective_date"": null, ""reported_policy_status"": null}",https://www.youtube.com/watch?v=0trOeEANSKs,chunk_796b07c3d69c1807e5df8ae1,manually_identified_unsupported_or_misclassified_fields
claim_c0e4b0aa02465013bc17b96e,S30,"[""production_effect""]",{},"[""policy_rationale_not_causal_effect"", ""off_sector_automotive_context""]",policy_rationale_not_measured_tariff_effect,"The proclamation states a national-security rationale about an existing production decline. It is not a measured production effect caused by the tariff, and it is not display-specific evidence.",False,quality-v1-2026-09-10,"{""production_effect"": ""decline that jeopardizes our domestic industrial base and national security""}","{""production_effect"": null}",https://www.federalregister.gov/documents/2025/04/03/2025-05930/adjusting-imports-of-automobiles-and-automobile-parts-into-the-united-states,chunk_e3c1cfec8bb51cf3c6674814,manually_identified_unsupported_or_misclassified_fields
claim_56645736c71e8be73fa2e20b,additional_conflict_review,"[""hts_code""]",{},"[""manual_conflict_review_field_error""]",field_misclassification,"The cached heading explicitly identifies Schedule B export codes, not an import HTS classification.",False,quality-v1-2026-09-10,"{""hts_code"": ""8708100010""}","{""hts_code"": null}",https://www.trade.gov/automotive-parts-tariff-codes,chunk_af551c84d9912577c25cbf1c,manually_identified_unsupported_or_misclassified_fields
claim_0d2878f8ec3c6660b1cb52ff,additional_conflict_review,"[""effective_date""]","{""expiration_date"": {""value"": ""Dec. 31, 2027"", ""excerpt"": ""through Dec. 31, 2027""}}","[""manual_conflict_review_field_error""]",field_misclassification,The date is the end of a reported relief period.,False,quality-v1-2026-09-10,"{""effective_date"": ""through Dec. 31, 2027"", ""expiration_date"": null}","{""effective_date"": null, ""expiration_date"": ""Dec. 31, 2027""}",https://www.plasticstoday.com/legislation-regulations/trump-revises-tariffs-impacting-plastics-industry-imports,chunk_85e320b75329e00ab59ec1cb,manually_identified_unsupported_or_misclassified_fields
claim_6edeba07cb0873e118bb5b78,additional_conflict_review,"[""company""]",{},"[""manual_conflict_review_field_error""]",field_misclassification,"The named individual is the ruling signatory, not the importer/company.",False,quality-v1-2026-09-10,"{""company"": ""Gregory Connor, Chief Electronics, Machinery, Automotive, and International Nomenclature Branch""}","{""company"": null}",https://www.customsmobile.com/rulings/docview?doc_id=HQ+H325872&highlight=category%3AClassification,chunk_11ccf05dbd681a3584ab0038,manually_identified_unsupported_or_misclassified_fields
claim_d1fd8b73c4da9a6e55cf051d,additional_conflict_review,"[""company"", ""duty_rate""]",{},"[""manual_conflict_review_field_error""]",field_misclassification,"CBP is the deciding agency. The free general rate in this ruling’s holding refers to the subject LCD module, not the heads-up-display comparator.",False,quality-v1-2026-09-10,"{""company"": ""CBP"", ""duty_rate"": ""free""}","{""company"": null, ""duty_rate"": null}",https://www.customsmobile.com/rulings/docview?doc_id=HQ+H325872&highlight=category%3AClassification,chunk_11ccf05dbd681a3584ab0038,manually_identified_unsupported_or_misclassified_fields
claim_a79d12636c8b91a8d8f5b549,additional_conflict_review,"[""origin_rules""]",{},"[""manual_conflict_review_field_error""]",field_misclassification,National-security rationale is not a legal origin test.,False,quality-v1-2026-09-10,"{""origin_rules"": ""U.S. auto imports were a threat to U.S. national security""}","{""origin_rules"": null}",https://www.congress.gov/crs-product/IN12545,chunk_388605ef4849945d41378490,manually_identified_unsupported_or_misclassified_fields
claim_a117a3e855f756d50fa2203c,additional_conflict_review,"[""hts_code""]",{},"[""schedule_b_export_code_not_import_hts""]",field_misclassification,The second code listing also occurs after the Schedule B Codes for Exports heading in the full cached Trade.gov document; it does not support an import HTS field.,False,quality-v1-2026-09-10,"{""hts_code"": ""8708100010""}","{""hts_code"": null}",https://www.trade.gov/automotive-parts-tariff-codes,chunk_2480c99fbfd2a5512378e655,manually_identified_unsupported_or_misclassified_fields
